2.5582 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
99.1130 	EXP 	fixation: autoDraw = False
99.1296 	EXP 	grating: autoDraw = True
99.1296 	EXP 	grating: tex = 'sin'
99.4295 	EXP 	grating: autoDraw = False
99.5493 	EXP 	window1: recordFrameIntervals = False
99.5519 	DATA 	Keypress: right
99.5630 	EXP 	fixation: autoDraw = False
99.5630 	EXP 	grating: autoDraw = False
99.5633 	EXP 	window1: recordFrameIntervals = False
100.5403 	EXP 	fixation: autoDraw = True
101.5463 	EXP 	fixation: autoDraw = False
101.5631 	EXP 	grating: autoDraw = True
101.5631 	EXP 	grating: tex = 'sin'
101.8631 	EXP 	grating: autoDraw = False
101.9500 	DATA 	Keypress: left
101.9661 	EXP 	window1: recordFrameIntervals = False
101.9800 	EXP 	fixation: autoDraw = False
101.9800 	EXP 	grating: autoDraw = False
101.9803 	EXP 	window1: recordFrameIntervals = False
102.9563 	EXP 	fixation: autoDraw = True
103.9630 	EXP 	fixation: autoDraw = False
103.9814 	EXP 	grating: autoDraw = True
103.9814 	EXP 	grating: tex = 'sin'
104.2965 	EXP 	grating: autoDraw = False
104.3505 	DATA 	Keypress: right
104.3665 	EXP 	window1: recordFrameIntervals = False
104.3801 	EXP 	fixation: autoDraw = False
104.3801 	EXP 	grating: autoDraw = False
104.3804 	EXP 	window1: recordFrameIntervals = False
105.3571 	EXP 	fixation: autoDraw = True
106.3632 	EXP 	fixation: autoDraw = False
106.3801 	EXP 	grating: autoDraw = True
106.3801 	EXP 	grating: tex = 'sin'
106.6802 	EXP 	grating: autoDraw = False
106.7338 	EXP 	window1: recordFrameIntervals = False
106.7360 	DATA 	Keypress: right
106.7465 	EXP 	fixation: autoDraw = False
106.7465 	EXP 	grating: autoDraw = False
106.7468 	EXP 	window1: recordFrameIntervals = False
107.7244 	EXP 	fixation: autoDraw = True
108.7299 	EXP 	fixation: autoDraw = False
108.7469 	EXP 	grating: autoDraw = True
108.7469 	EXP 	grating: tex = 'sin'
109.0468 	EXP 	grating: autoDraw = False
109.0995 	EXP 	window1: recordFrameIntervals = False
109.1010 	DATA 	Keypress: right
109.1133 	EXP 	fixation: autoDraw = False
109.1133 	EXP 	grating: autoDraw = False
109.1136 	EXP 	window1: recordFrameIntervals = False
110.0908 	EXP 	fixation: autoDraw = True
111.0967 	EXP 	fixation: autoDraw = False
111.1135 	EXP 	grating: autoDraw = True
111.1135 	EXP 	grating: tex = 'sin'
111.4135 	EXP 	grating: autoDraw = False
111.5329 	EXP 	window1: recordFrameIntervals = False
111.5347 	DATA 	Keypress: left
111.5469 	EXP 	fixation: autoDraw = False
111.5469 	EXP 	grating: autoDraw = False
111.5473 	EXP 	window1: recordFrameIntervals = False
112.5227 	EXP 	fixation: autoDraw = True
113.5301 	EXP 	fixation: autoDraw = False
113.5469 	EXP 	grating: autoDraw = True
113.5469 	EXP 	grating: tex = 'sin'
113.8469 	EXP 	grating: autoDraw = False
113.8979 	EXP 	window1: recordFrameIntervals = False
113.8988 	DATA 	Keypress: left
113.9133 	EXP 	fixation: autoDraw = False
113.9133 	EXP 	grating: autoDraw = False
113.9137 	EXP 	window1: recordFrameIntervals = False
114.8876 	EXP 	fixation: autoDraw = True
115.8971 	EXP 	fixation: autoDraw = False
115.8971 	EXP 	grating: autoDraw = True
115.8971 	EXP 	grating: tex = 'sin'
116.1972 	EXP 	grating: autoDraw = False
116.2677 	EXP 	window1: recordFrameIntervals = False
116.2696 	DATA 	Keypress: right
116.2803 	EXP 	fixation: autoDraw = False
116.2803 	EXP 	grating: autoDraw = False
116.2806 	EXP 	window1: recordFrameIntervals = False
117.2574 	EXP 	fixation: autoDraw = True
118.2638 	EXP 	fixation: autoDraw = False
118.2806 	EXP 	grating: autoDraw = True
118.2806 	EXP 	grating: tex = 'sin'
118.5837 	EXP 	grating: autoDraw = False
118.6504 	EXP 	window1: recordFrameIntervals = False
118.6522 	DATA 	Keypress: right
118.6638 	EXP 	fixation: autoDraw = False
118.6638 	EXP 	grating: autoDraw = False
118.6641 	EXP 	window1: recordFrameIntervals = False
119.6422 	EXP 	fixation: autoDraw = True
120.6472 	EXP 	fixation: autoDraw = False
